symbol,strategy,timeFrame,signalDate,entryPrice,rsiDaily,rsiWeekly,rsiMonthly,volume,pattern,return5D,return10D,return20D,return40D,maxDrawdown,maxGain,outcome
MARATHON,RSITTF,D,2023-05-04,287.75,44.52,70.64,82.04,38625,,-0.21,4.52,4.73,12.42,-5.09,17.81,Loss
FAZE3Q,RSITTF,D,2023-05-11,327.40,43.66,68.53,85.36,6267,,3.02,6.49,7.42,13.62,-5.31,32.62,Win
SILVERAXIS,RSITTF,D,2023-05-15,74.23,44.18,60.50,81.60,81098,,0.35,-2.22,0.58,-2.56,-7.69,2.96,Loss
OSWALSEEDS,RSITTF,D,2023-05-22,59.39,41.99,62.89,77.72,48690,,6.60,10.12,3.38,-5.10,-10.17,19.36,Loss
OSWALSEEDS,RSITTF,D,2023-05-24,59.67,44.17,62.89,77.72,58242,,5.14,7.32,1.44,-6.15,-10.59,18.80,Loss
OSWALSEEDS,RSITTF,D,2023-05-25,59.72,44.43,62.89,77.72,60966,,7.92,3.90,1.72,-6.55,-10.67,18.70,Loss
LAMBODHARA,RSITTF,D,2023-06-01,191.60,43.30,68.39,66.54,56880,,-11.69,-10.65,-17.90,-23.28,-27.45,1.51,Loss
CPSEETF,RSITTF,D,2023-06-02,41.79,44.87,61.35,78.21,2113083,,2.46,3.85,5.41,14.36,-1.05,16.18,Win
ORIENTHOT,RSITTF,D,2023-06-07,87.80,43.77,62.77,68.76,340619,,3.82,4.95,0.57,-1.82,-5.47,8.43,Loss
ANURAS,RSITTF,D,2023-06-08,1085.35,42.55,69.93,67.61,93168,,-0.18,-3.63,-9.06,-14.58,-15.23,5.96,Loss
RAMKY,RSITTF,D,2023-06-09,369.25,42.51,62.24,72.97,87868,,-1.49,-5.46,4.54,38.66,-5.90,41.75,Loss
LINC,RSITTF,D,2023-06-22,356.75,43.59,72.58,91.37,18512,,-0.11,-3.99,-7.36,-11.00,-16.74,4.34,Loss
HARDWYN,RSITTF,D,2023-06-28,19.21,42.03,68.22,81.21,2210058,,14.58,7.70,11.30,5.73,0.00,23.11,Win
IZMO,RSITTF,D,2023-06-30,192.00,44.32,63.74,77.47,136458,,2.08,-2.08,1.48,-7.50,-21.74,17.71,Win
AFSL,RSITTF,D,2023-07-05,276.20,43.47,69.74,83.06,103389,,7.93,18.32,-2.14,-1.86,-6.50,24.48,Win
PGEL,RSITTF,D,2023-07-05,154.50,42.46,66.61,78.68,322570,,1.62,-0.78,-1.62,19.09,-6.03,38.54,Win
INGERRAND,RSITTF,D,2023-07-06,2766.10,44.71,65.25,81.13,9170,,3.03,1.77,8.46,15.17,-1.74,20.38,Win
KINGFA,RSITTF,D,2023-07-13,1904.00,44.53,64.85,68.56,11681,,0.37,7.14,21.32,21.06,-2.95,36.29,Loss
BCLIND,RSITTF,D,2023-07-13,48.01,44.65,68.42,65.33,1071840,,0.40,-6.60,-1.79,3.17,-10.02,18.31,Loss
ABB,RSITTF,D,2023-07-21,4239.00,44.56,67.57,81.30,411310,,6.46,4.86,1.89,1.92,-2.74,10.36,Win
